sub	trial	file	base	vc	vot	f0	choice
S027	1	pha_vcNone_100_95.wav	pha	vcNone	100	95	ph
S027	2	pha_vcShort_75_95.wav	pha	vcShort	75	95	bh
S027	3	pha_vcNone_100_150.wav	pha	vcNone	100	150	ph
S027	4	pha_vcLong_75_95.wav	pha	vcLong	75	95	bh
S027	5	pha_vcNone_75_95.wav	pha	vcNone	75	95	ph
S027	6	pha_vcLong_100_150.wav	pha	vcLong	100	150	bh
S027	7	bha_vcNone_100_123.wav	bha	vcNone	100	123	ph
S027	8	bha_vcNone_25_150.wav	bha	vcNone	25	150	p
S027	9	pha_vcShort_0_123.wav	pha	vcShort	0	123	b
S027	10	bha_vcNone_75_123.wav	bha	vcNone	75	123	bh
S027	11	pha_vcNone_25_95.wav	pha	vcNone	25	95	ph
S027	12	pha_vcShort_100_123.wav	pha	vcShort	100	123	bh
S027	13	bha_vcLong_0_123.wav	bha	vcLong	0	123	bh
S027	14	pha_vcNone_75_123.wav	pha	vcNone	75	123	ph
S027	15	bha_vcShort_50_123.wav	bha	vcShort	50	123	bh
S027	16	bha_vcShort_0_150.wav	bha	vcShort	0	150	b
S027	17	bha_vcShort_50_150.wav	bha	vcShort	50	150	bh
S027	18	pha_vcLong_0_123.wav	pha	vcLong	0	123	b
S027	19	pha_vcLong_25_95.wav	pha	vcLong	25	95	bh
S027	20	bha_vcShort_25_123.wav	bha	vcShort	25	123	bh
S027	21	pha_vcShort_25_95.wav	pha	vcShort	25	95	bh
S027	22	bha_vcNone_75_95.wav	bha	vcNone	75	95	bh
S027	23	bha_vcShort_0_95.wav	bha	vcShort	0	95	bh
S027	24	pha_vcNone_50_123.wav	pha	vcNone	50	123	ph
S027	25	bha_vcNone_50_123.wav	bha	vcNone	50	123	ph
S027	26	pha_vcLong_50_150.wav	pha	vcLong	50	150	bh
S027	27	pha_vcNone_0_95.wav	pha	vcNone	0	95	p
S027	28	bha_vcLong_25_95.wav	bha	vcLong	25	95	bh
S027	29	bha_vcLong_50_150.wav	bha	vcLong	50	150	bh
S027	30	pha_vcLong_50_123.wav	pha	vcLong	50	123	bh
S027	31	pha_vcShort_0_95.wav	pha	vcShort	0	95	bh
S027	32	pha_vcLong_25_123.wav	pha	vcLong	25	123	bh
S027	33	bha_vcLong_75_95.wav	bha	vcLong	75	95	bh
S027	34	bha_vcShort_100_123.wav	bha	vcShort	100	123	bh
S027	35	bha_vcLong_75_123.wav	bha	vcLong	75	123	bh
S027	36	bha_vcShort_100_150.wav	bha	vcShort	100	150	bh
S027	37	pha_vcNone_25_150.wav	pha	vcNone	25	150	ph
S027	38	bha_vcLong_100_123.wav	bha	vcLong	100	123	bh
S027	39	bha_vcShort_25_150.wav	bha	vcShort	25	150	bh
S027	40	pha_vcLong_100_123.wav	pha	vcLong	100	123	bh
S027	41	bha_vcShort_75_123.wav	bha	vcShort	75	123	bh
S027	42	bha_vcNone_0_123.wav	bha	vcNone	0	123	ph
S027	43	pha_vcLong_75_150.wav	pha	vcLong	75	150	bh
S027	44	bha_vcLong_50_95.wav	bha	vcLong	50	95	bh
S027	45	pha_vcShort_50_123.wav	pha	vcShort	50	123	bh
S027	46	bha_vcNone_50_95.wav	bha	vcNone	50	95	bh
S027	47	pha_vcShort_75_150.wav	pha	vcShort	75	150	bh
S027	48	pha_vcNone_100_123.wav	pha	vcNone	100	123	ph
S027	49	pha_vcLong_50_95.wav	pha	vcLong	50	95	bh
S027	50	pha_vcShort_25_123.wav	pha	vcShort	25	123	bh
S027	51	bha_vcShort_75_150.wav	bha	vcShort	75	150	bh
S027	52	bha_vcNone_25_123.wav	bha	vcNone	25	123	ph
S027	53	bha_vcNone_0_150.wav	bha	vcNone	0	150	p
S027	54	bha_vcShort_75_95.wav	bha	vcShort	75	95	bh
S027	55	bha_vcLong_0_150.wav	bha	vcLong	0	150	bh
S027	56	pha_vcShort_0_150.wav	pha	vcShort	0	150	b
S027	57	bha_vcLong_25_150.wav	bha	vcLong	25	150	bh
S027	58	bha_vcNone_50_150.wav	bha	vcNone	50	150	ph
S027	59	bha_vcNone_25_95.wav	bha	vcNone	25	95	ph
S027	60	pha_vcNone_75_150.wav	pha	vcNone	75	150	ph
S027	61	bha_vcLong_100_95.wav	bha	vcLong	100	95	bh
S027	62	bha_vcNone_75_150.wav	bha	vcNone	75	150	ph
S027	63	bha_vcNone_0_95.wav	bha	vcNone	0	95	p
S027	64	bha_vcLong_50_123.wav	bha	vcLong	50	123	bh
S027	65	pha_vcNone_50_150.wav	pha	vcNone	50	150	ph
S027	66	pha_vcShort_100_150.wav	pha	vcShort	100	150	bh
S027	67	pha_vcLong_0_150.wav	pha	vcLong	0	150	b
S027	68	pha_vcNone_50_95.wav	pha	vcNone	50	95	ph
S027	69	pha_vcLong_100_95.wav	pha	vcLong	100	95	bh
S027	70	pha_vcShort_100_95.wav	pha	vcShort	100	95	bh
S027	71	pha_vcNone_0_123.wav	pha	vcNone	0	123	p
S027	72	bha_vcShort_0_123.wav	bha	vcShort	0	123	bh
S027	73	bha_vcLong_100_150.wav	bha	vcLong	100	150	bh
S027	74	bha_vcNone_100_95.wav	bha	vcNone	100	95	bh
S027	75	pha_vcNone_0_150.wav	pha	vcNone	0	150	p
S027	76	pha_vcShort_50_95.wav	pha	vcShort	50	95	bh
S027	77	bha_vcLong_0_95.wav	bha	vcLong	0	95	bh
