sub	trial	file	base	vc	vot	f0	choice
S008	1	pha_vcShort_0_150.wav	pha	vcShort	0	150	bh
S008	2	bha_vcShort_100_123.wav	bha	vcShort	100	123	bh
S008	3	bha_vcNone_75_95.wav	bha	vcNone	75	95	ph
S008	4	pha_vcLong_50_123.wav	pha	vcLong	50	123	bh
S008	5	bha_vcShort_50_95.wav	bha	vcShort	50	95	bh
S008	6	pha_vcNone_0_123.wav	pha	vcNone	0	123	ph
S008	7	pha_vcNone_50_123.wav	pha	vcNone	50	123	ph
S008	8	bha_vcShort_100_95.wav	bha	vcShort	100	95	bh
S008	9	pha_vcShort_75_95.wav	pha	vcShort	75	95	bh
S008	10	pha_vcNone_25_150.wav	pha	vcNone	25	150	p
S008	11	pha_vcShort_25_123.wav	pha	vcShort	25	123	bh
S008	12	bha_vcNone_100_150.wav	bha	vcNone	100	150	bh
S008	13	bha_vcLong_50_150.wav	bha	vcLong	50	150	bh
S008	14	pha_vcLong_50_95.wav	pha	vcLong	50	95	b
S008	15	bha_vcShort_0_150.wav	bha	vcShort	0	150	b
S008	16	bha_vcShort_50_123.wav	bha	vcShort	50	123	bh
S008	17	bha_vcLong_25_95.wav	bha	vcLong	25	95	bh
S008	18	bha_vcNone_0_150.wav	bha	vcNone	0	150	p
S008	19	pha_vcLong_75_150.wav	pha	vcLong	75	150	bh
S008	20	pha_vcLong_75_95.wav	pha	vcLong	75	95	bh
S008	21	pha_vcNone_75_150.wav	pha	vcNone	75	150	ph
S008	22	bha_vcLong_75_123.wav	bha	vcLong	75	123	bh
S008	23	pha_vcLong_100_123.wav	pha	vcLong	100	123	bh
S008	24	bha_vcShort_75_150.wav	bha	vcShort	75	150	bh
S008	25	pha_vcLong_25_95.wav	pha	vcLong	25	95	b
S008	26	pha_vcLong_0_150.wav	pha	vcLong	0	150	b
S008	27	bha_vcNone_50_123.wav	bha	vcNone	50	123	bh
S008	28	pha_vcShort_75_150.wav	pha	vcShort	75	150	bh
S008	29	bha_vcShort_75_95.wav	bha	vcShort	75	95	bh
S008	30	bha_vcShort_0_95.wav	bha	vcShort	0	95	b
S008	31	bha_vcNone_0_123.wav	bha	vcNone	0	123	p
S008	32	bha_vcLong_25_150.wav	bha	vcLong	25	150	bh
S008	33	pha_vcShort_50_150.wav	pha	vcShort	50	150	bh
S008	34	pha_vcNone_0_95.wav	pha	vcNone	0	95	p
S008	35	bha_vcNone_25_150.wav	bha	vcNone	25	150	ph
S008	36	bha_vcNone_75_150.wav	bha	vcNone	75	150	bh
S008	37	bha_vcNone_50_95.wav	bha	vcNone	50	95	bh
S008	38	pha_vcLong_25_150.wav	pha	vcLong	25	150	b
S008	39	pha_vcNone_25_123.wav	pha	vcNone	25	123	p
S008	40	pha_vcShort_25_150.wav	pha	vcShort	25	150	bh
S008	41	pha_vcNone_25_95.wav	pha	vcNone	25	95	p
S008	42	bha_vcLong_0_123.wav	bha	vcLong	0	123	b
S008	43	pha_vcShort_100_123.wav	pha	vcShort	100	123	bh
S008	44	bha_vcShort_25_150.wav	bha	vcShort	25	150	bh
S008	45	pha_vcLong_0_95.wav	pha	vcLong	0	95	b
S008	46	bha_vcLong_50_123.wav	bha	vcLong	50	123	bh
S008	47	pha_vcNone_100_150.wav	pha	vcNone	100	150	ph
S008	48	bha_vcNone_100_95.wav	bha	vcNone	100	95	bh
S008	49	bha_vcNone_75_123.wav	bha	vcNone	75	123	bh
S008	50	pha_vcNone_50_95.wav	pha	vcNone	50	95	p
S008	51	bha_vcNone_25_95.wav	bha	vcNone	25	95	bh
S008	52	pha_vcLong_50_150.wav	pha	vcLong	50	150	bh
S008	53	pha_vcNone_100_123.wav	pha	vcNone	100	123	ph
S008	54	pha_vcShort_50_95.wav	pha	vcShort	50	95	bh
S008	55	pha_vcNone_75_95.wav	pha	vcNone	75	95	p
S008	56	bha_vcShort_0_123.wav	bha	vcShort	0	123	b
S008	57	bha_vcLong_100_123.wav	bha	vcLong	100	123	bh
S008	58	pha_vcShort_75_123.wav	pha	vcShort	75	123	bh
S008	59	bha_vcShort_25_95.wav	bha	vcShort	25	95	bh
S008	60	bha_vcShort_25_123.wav	bha	vcShort	25	123	bh
S008	61	bha_vcLong_75_95.wav	bha	vcLong	75	95	bh
S008	62	pha_vcNone_75_123.wav	pha	vcNone	75	123	p
S008	63	bha_vcLong_50_95.wav	bha	vcLong	50	95	bh
S008	64	bha_vcNone_0_95.wav	bha	vcNone	0	95	b
S008	65	pha_vcNone_100_95.wav	pha	vcNone	100	95	ph
S008	66	bha_vcLong_25_123.wav	bha	vcLong	25	123	bh
S008	67	bha_vcShort_50_150.wav	bha	vcShort	50	150	b
S008	68	bha_vcNone_25_123.wav	bha	vcNone	25	123	p
S008	69	pha_vcShort_0_95.wav	pha	vcShort	0	95	b
S008	70	pha_vcLong_100_150.wav	pha	vcLong	100	150	bh
S008	71	bha_vcLong_75_150.wav	bha	vcLong	75	150	bh
S008	72	bha_vcShort_100_150.wav	bha	vcShort	100	150	bh
S008	73	bha_vcShort_75_123.wav	bha	vcShort	75	123	bh
S008	74	pha_vcNone_50_150.wav	pha	vcNone	50	150	p
S008	75	bha_vcLong_100_95.wav	bha	vcLong	100	95	bh
S008	76	pha_vcLong_100_95.wav	pha	vcLong	100	95	bh
S008	77	bha_vcLong_100_150.wav	bha	vcLong	100	150	bh
