sub	trial	file	base	vc	vot	f0	choice
S026	1	bha_vcLong_75_123.wav	bha	vcLong	75	123	bh
S026	2	pha_vcNone_100_95.wav	pha	vcNone	100	95	bh
S026	3	pha_vcLong_100_95.wav	pha	vcLong	100	95	bh
S026	4	bha_vcLong_100_123.wav	bha	vcLong	100	123	bh
S026	5	pha_vcNone_0_95.wav	pha	vcNone	0	95	bh
S026	6	pha_vcShort_0_95.wav	pha	vcShort	0	95	b
S026	7	bha_vcShort_0_150.wav	bha	vcShort	0	150	b
S026	8	bha_vcShort_25_123.wav	bha	vcShort	25	123	bh
S026	9	pha_vcShort_25_150.wav	pha	vcShort	25	150	bh
S026	10	pha_vcLong_0_95.wav	pha	vcLong	0	95	b
S026	11	pha_vcShort_75_95.wav	pha	vcShort	75	95	bh
S026	12	pha_vcShort_50_150.wav	pha	vcShort	50	150	bh
S026	13	pha_vcShort_100_95.wav	pha	vcShort	100	95	bh
S026	14	bha_vcShort_25_150.wav	bha	vcShort	25	150	bh
S026	15	pha_vcShort_50_95.wav	pha	vcShort	50	95	bh
S026	16	bha_vcNone_0_150.wav	bha	vcNone	0	150	p
S026	17	bha_vcShort_0_95.wav	bha	vcShort	0	95	b
S026	18	bha_vcShort_75_150.wav	bha	vcShort	75	150	bh
S026	19	pha_vcNone_75_95.wav	pha	vcNone	75	95	ph
S026	20	bha_vcLong_25_95.wav	bha	vcLong	25	95	bh
S026	21	bha_vcShort_75_95.wav	bha	vcShort	75	95	bh
S026	22	bha_vcNone_50_150.wav	bha	vcNone	50	150	ph
S026	23	pha_vcLong_75_95.wav	pha	vcLong	75	95	bh
S026	24	bha_vcLong_0_123.wav	bha	vcLong	0	123	b
S026	25	pha_vcNone_50_150.wav	pha	vcNone	50	150	ph
S026	26	pha_vcNone_75_123.wav	pha	vcNone	75	123	ph
S026	27	pha_vcLong_0_123.wav	pha	vcLong	0	123	b
S026	28	bha_vcLong_0_95.wav	bha	vcLong	0	95	b
S026	29	pha_vcLong_50_123.wav	pha	vcLong	50	123	bh
S026	30	bha_vcShort_50_123.wav	bha	vcShort	50	123	bh
S026	31	pha_vcLong_100_123.wav	pha	vcLong	100	123	bh
S026	32	pha_vcNone_0_123.wav	pha	vcNone	0	123	p
S026	33	bha_vcNone_75_95.wav	bha	vcNone	75	95	bh
S026	34	bha_vcLong_25_123.wav	bha	vcLong	25	123	bh
S026	35	pha_vcLong_50_150.wav	pha	vcLong	50	150	bh
S026	36	bha_vcShort_50_150.wav	bha	vcShort	50	150	bh
S026	37	pha_vcShort_100_123.wav	pha	vcShort	100	123	bh
S026	38	pha_vcNone_75_150.wav	pha	vcNone	75	150	ph
S026	39	pha_vcLong_0_150.wav	pha	vcLong	0	150	b
S026	40	bha_vcShort_0_123.wav	bha	vcShort	0	123	b
S026	41	bha_vcShort_100_150.wav	bha	vcShort	100	150	bh
S026	42	bha_vcNone_25_150.wav	bha	vcNone	25	150	ph
S026	43	pha_vcShort_0_150.wav	pha	vcShort	0	150	b
S026	44	pha_vcShort_0_123.wav	pha	vcShort	0	123	b
S026	45	bha_vcLong_0_150.wav	bha	vcLong	0	150	b
S026	46	pha_vcShort_75_150.wav	pha	vcShort	75	150	bh
S026	47	pha_vcLong_25_123.wav	pha	vcLong	25	123	bh
S026	48	pha_vcNone_50_95.wav	pha	vcNone	50	95	ph
S026	49	bha_vcNone_25_95.wav	bha	vcNone	25	95	bh
S026	50	bha_vcNone_0_123.wav	bha	vcNone	0	123	p
S026	51	pha_vcLong_25_150.wav	pha	vcLong	25	150	bh
S026	52	pha_vcLong_25_95.wav	pha	vcLong	25	95	bh
S026	53	bha_vcLong_75_95.wav	bha	vcLong	75	95	bh
S026	54	bha_vcNone_50_123.wav	bha	vcNone	50	123	ph
S026	55	bha_vcShort_100_123.wav	bha	vcShort	100	123	bh
S026	56	bha_vcLong_100_95.wav	bha	vcLong	100	95	bh
S026	57	pha_vcNone_0_150.wav	pha	vcNone	0	150	p
S026	58	bha_vcNone_100_95.wav	bha	vcNone	100	95	bh
S026	59	bha_vcLong_50_123.wav	bha	vcLong	50	123	bh
S026	60	pha_vcNone_100_123.wav	pha	vcNone	100	123	ph
S026	61	pha_vcLong_50_95.wav	pha	vcLong	50	95	bh
S026	62	bha_vcLong_75_150.wav	bha	vcLong	75	150	bh
S026	63	pha_vcLong_75_150.wav	pha	vcLong	75	150	bh
S026	64	pha_vcShort_50_123.wav	pha	vcShort	50	123	bh
S026	65	bha_vcLong_100_150.wav	bha	vcLong	100	150	bh
S026	66	pha_vcLong_100_150.wav	pha	vcLong	100	150	bh
S026	67	bha_vcNone_25_123.wav	bha	vcNone	25	123	ph
S026	68	pha_vcNone_25_123.wav	pha	vcNone	25	123	ph
S026	69	bha_vcLong_25_150.wav	bha	vcLong	25	150	bh
S026	70	bha_vcNone_0_95.wav	bha	vcNone	0	95	bh
S026	71	pha_vcNone_25_95.wav	pha	vcNone	25	95	ph
S026	72	pha_vcShort_75_123.wav	pha	vcShort	75	123	bh
S026	73	pha_vcShort_25_123.wav	pha	vcShort	25	123	bh
S026	74	bha_vcLong_50_150.wav	bha	vcLong	50	150	bh
S026	75	bha_vcShort_100_95.wav	bha	vcShort	100	95	bh
S026	76	bha_vcShort_25_95.wav	bha	vcShort	25	95	bh
S026	77	pha_vcNone_50_123.wav	pha	vcNone	50	123	ph
S026	78	bha_vcNone_50_95.wav	bha	vcNone	50	95	bh
S026	79	pha_vcShort_100_150.wav	pha	vcShort	100	150	bh
S026	80	bha_vcNone_75_150.wav	bha	vcNone	75	150	ph
S026	81	bha_vcNone_100_123.wav	bha	vcNone	100	123	ph
S026	82	pha_vcNone_25_150.wav	pha	vcNone	25	150	ph
S026	83	pha_vcNone_100_150.wav	pha	vcNone	100	150	ph
S026	84	bha_vcLong_50_95.wav	bha	vcLong	50	95	bh
S026	85	bha_vcShort_50_95.wav	bha	vcShort	50	95	bh
S026	86	bha_vcShort_75_123.wav	bha	vcShort	75	123	bh
S026	87	pha_vcLong_75_123.wav	pha	vcLong	75	123	bh
S026	88	bha_vcNone_100_150.wav	bha	vcNone	100	150	ph
S026	89	pha_vcShort_25_95.wav	pha	vcShort	25	95	bh
S026	90	bha_vcNone_75_123.wav	bha	vcNone	75	123	ph
S026	91	pha_vcNone_75_123.wav	pha	vcNone	75	123	ph
S026	92	pha_vcNone_75_95.wav	pha	vcNone	75	95	ph
S026	93	pha_vcShort_50_123.wav	pha	vcShort	50	123	bh
S026	94	bha_vcLong_100_150.wav	bha	vcLong	100	150	bh
S026	95	pha_vcLong_0_150.wav	pha	vcLong	0	150	b
S026	96	bha_vcNone_0_150.wav	bha	vcNone	0	150	p
S026	97	bha_vcShort_0_150.wav	bha	vcShort	0	150	bh
S026	98	bha_vcShort_0_123.wav	bha	vcShort	0	123	b
S026	99	bha_vcShort_75_95.wav	bha	vcShort	75	95	bh
S026	100	pha_vcLong_75_150.wav	pha	vcLong	75	150	bh
S026	101	pha_vcLong_100_123.wav	pha	vcLong	100	123	bh
S026	102	bha_vcNone_0_95.wav	bha	vcNone	0	95	p
S026	103	bha_vcShort_50_95.wav	bha	vcShort	50	95	bh
S026	104	pha_vcNone_100_150.wav	pha	vcNone	100	150	ph
S026	105	pha_vcNone_50_123.wav	pha	vcNone	50	123	p
S026	106	pha_vcLong_0_123.wav	pha	vcLong	0	123	b
S026	107	pha_vcNone_100_95.wav	pha	vcNone	100	95	ph
S026	108	bha_vcLong_0_123.wav	bha	vcLong	0	123	b
S026	109	pha_vcNone_0_150.wav	pha	vcNone	0	150	p
S026	110	bha_vcLong_0_95.wav	bha	vcLong	0	95	bh
S026	111	pha_vcLong_25_95.wav	pha	vcLong	25	95	bh
S026	112	pha_vcLong_50_95.wav	pha	vcLong	50	95	bh
S026	113	pha_vcNone_0_123.wav	pha	vcNone	0	123	p
S026	114	bha_vcLong_0_150.wav	bha	vcLong	0	150	b
S026	115	pha_vcNone_25_95.wav	pha	vcNone	25	95	ph
S026	116	bha_vcLong_25_95.wav	bha	vcLong	25	95	bh
S026	117	bha_vcLong_25_123.wav	bha	vcLong	25	123	bh
S026	118	bha_vcShort_75_123.wav	bha	vcShort	75	123	bh
S026	119	pha_vcLong_100_150.wav	pha	vcLong	100	150	bh
S026	120	bha_vcNone_50_150.wav	bha	vcNone	50	150	ph
S026	121	bha_vcNone_25_95.wav	bha	vcNone	25	95	ph
S026	122	bha_vcShort_100_123.wav	bha	vcShort	100	123	bh
S026	123	pha_vcLong_75_123.wav	pha	vcLong	75	123	bh
S026	124	pha_vcShort_75_123.wav	pha	vcShort	75	123	bh
S026	125	bha_vcLong_100_123.wav	bha	vcLong	100	123	bh
S026	126	bha_vcNone_50_95.wav	bha	vcNone	50	95	bh
S026	127	bha_vcLong_25_150.wav	bha	vcLong	25	150	bh
S026	128	bha_vcLong_100_95.wav	bha	vcLong	100	95	bh
S026	129	pha_vcNone_50_95.wav	pha	vcNone	50	95	ph
S026	130	pha_vcLong_25_123.wav	pha	vcLong	25	123	bh
S026	131	bha_vcShort_25_123.wav	bha	vcShort	25	123	bh
S026	132	pha_vcNone_50_150.wav	pha	vcNone	50	150	ph
S026	133	bha_vcNone_25_123.wav	bha	vcNone	25	123	ph
S026	134	bha_vcShort_0_95.wav	bha	vcShort	0	95	bh
S026	135	pha_vcNone_25_150.wav	pha	vcNone	25	150	ph
S026	136	bha_vcShort_75_150.wav	bha	vcShort	75	150	bh
S026	137	bha_vcNone_75_150.wav	bha	vcNone	75	150	ph
S026	138	pha_vcShort_100_150.wav	pha	vcShort	100	150	bh
S026	139	bha_vcNone_0_123.wav	bha	vcNone	0	123	ph
S026	140	pha_vcShort_75_95.wav	pha	vcShort	75	95	bh
S026	141	pha_vcLong_100_95.wav	pha	vcLong	100	95	bh
S026	142	bha_vcNone_100_95.wav	bha	vcNone	100	95	bh
S026	143	pha_vcShort_0_95.wav	pha	vcShort	0	95	b
S026	144	bha_vcShort_100_95.wav	bha	vcShort	100	95	bh
S026	145	pha_vcLong_25_150.wav	pha	vcLong	25	150	bh
S026	146	pha_vcShort_100_123.wav	pha	vcShort	100	123	bh
S026	147	pha_vcShort_100_95.wav	pha	vcShort	100	95	bh
S026	148	bha_vcNone_75_95.wav	bha	vcNone	75	95	bh
