sub	trial	file	base	vc	vot	f0	choice
S016	1	bha_vcLong_50_123.wav	bha	vcLong	50	123	bh
S016	2	pha_vcShort_0_95.wav	pha	vcShort	0	95	bh
S016	3	pha_vcShort_100_150.wav	pha	vcShort	100	150	bh
S016	4	bha_vcLong_100_95.wav	bha	vcLong	100	95	bh
S016	5	bha_vcLong_0_95.wav	bha	vcLong	0	95	bh
S016	6	pha_vcShort_75_150.wav	pha	vcShort	75	150	bh
S016	7	bha_vcLong_100_123.wav	bha	vcLong	100	123	bh
S016	8	pha_vcNone_25_123.wav	pha	vcNone	25	123	p
S016	9	bha_vcNone_0_123.wav	bha	vcNone	0	123	bh
S016	10	pha_vcShort_75_123.wav	pha	vcShort	75	123	bh
S016	11	bha_vcNone_100_123.wav	bha	vcNone	100	123	bh
S016	12	bha_vcNone_75_95.wav	bha	vcNone	75	95	bh
S016	13	bha_vcLong_50_95.wav	bha	vcLong	50	95	bh
S016	14	pha_vcLong_75_95.wav	pha	vcLong	75	95	bh
S016	15	pha_vcShort_100_123.wav	pha	vcShort	100	123	bh
S016	16	bha_vcShort_0_95.wav	bha	vcShort	0	95	bh
S016	17	pha_vcLong_0_123.wav	pha	vcLong	0	123	bh
S016	18	bha_vcShort_75_150.wav	bha	vcShort	75	150	bh
S016	19	bha_vcShort_50_123.wav	bha	vcShort	50	123	bh
S016	20	pha_vcNone_100_150.wav	pha	vcNone	100	150	ph
S016	21	bha_vcShort_100_150.wav	bha	vcShort	100	150	bh
S016	22	pha_vcLong_100_150.wav	pha	vcLong	100	150	bh
S016	23	bha_vcNone_100_150.wav	bha	vcNone	100	150	bh
S016	24	pha_vcLong_75_150.wav	pha	vcLong	75	150	bh
S016	25	bha_vcShort_75_123.wav	bha	vcShort	75	123	bh
S016	26	bha_vcNone_0_95.wav	bha	vcNone	0	95	bh
S016	27	pha_vcShort_0_123.wav	pha	vcShort	0	123	b
S016	28	pha_vcShort_100_95.wav	pha	vcShort	100	95	bh
S016	29	pha_vcShort_50_123.wav	pha	vcShort	50	123	bh
S016	30	pha_vcNone_25_95.wav	pha	vcNone	25	95	ph
S016	31	bha_vcLong_75_123.wav	bha	vcLong	75	123	bh
S016	32	pha_vcNone_75_123.wav	pha	vcNone	75	123	ph
S016	33	pha_vcLong_0_150.wav	pha	vcLong	0	150	b
S016	34	bha_vcShort_25_95.wav	bha	vcShort	25	95	bh
S016	35	bha_vcNone_75_123.wav	bha	vcNone	75	123	ph
S016	36	bha_vcNone_0_150.wav	bha	vcNone	0	150	p
S016	37	bha_vcLong_50_150.wav	bha	vcLong	50	150	bh
S016	38	bha_vcNone_50_95.wav	bha	vcNone	50	95	bh
S016	39	pha_vcLong_75_123.wav	pha	vcLong	75	123	bh
S016	40	bha_vcShort_50_150.wav	bha	vcShort	50	150	bh
S016	41	pha_vcShort_25_123.wav	pha	vcShort	25	123	bh
S016	42	pha_vcLong_50_150.wav	pha	vcLong	50	150	bh
S016	43	pha_vcLong_25_95.wav	pha	vcLong	25	95	bh
S016	44	bha_vcNone_75_150.wav	bha	vcNone	75	150	ph
S016	45	pha_vcShort_25_150.wav	pha	vcShort	25	150	bh
S016	46	pha_vcLong_0_95.wav	pha	vcLong	0	95	bh
S016	47	bha_vcNone_50_123.wav	bha	vcNone	50	123	ph
S016	48	bha_vcShort_0_123.wav	bha	vcShort	0	123	b
S016	49	bha_vcShort_100_95.wav	bha	vcShort	100	95	bh
S016	50	pha_vcLong_100_123.wav	pha	vcLong	100	123	bh
S016	51	bha_vcShort_75_95.wav	bha	vcShort	75	95	bh
S016	52	bha_vcNone_25_123.wav	bha	vcNone	25	123	ph
S016	53	pha_vcNone_50_123.wav	pha	vcNone	50	123	ph
S016	54	bha_vcLong_25_123.wav	bha	vcLong	25	123	bh
S016	55	pha_vcNone_50_95.wav	pha	vcNone	50	95	bh
S016	56	pha_vcShort_0_150.wav	pha	vcShort	0	150	b
S016	57	bha_vcNone_25_150.wav	bha	vcNone	25	150	p
S016	58	bha_vcNone_100_95.wav	bha	vcNone	100	95	bh
S016	59	pha_vcNone_25_150.wav	pha	vcNone	25	150	p
S016	60	bha_vcLong_25_95.wav	bha	vcLong	25	95	bh
S016	61	pha_vcNone_75_95.wav	pha	vcNone	75	95	ph
S016	62	pha_vcNone_50_150.wav	pha	vcNone	50	150	ph
S016	63	bha_vcLong_75_95.wav	bha	vcLong	75	95	bh
S016	64	pha_vcShort_75_95.wav	pha	vcShort	75	95	bh
S016	65	pha_vcNone_0_123.wav	pha	vcNone	0	123	b
S016	66	bha_vcShort_25_123.wav	bha	vcShort	25	123	bh
S016	67	pha_vcLong_25_123.wav	pha	vcLong	25	123	bh
S016	68	pha_vcNone_0_95.wav	pha	vcNone	0	95	p
S016	69	bha_vcLong_25_150.wav	bha	vcLong	25	150	p
S016	70	bha_vcLong_0_150.wav	bha	vcLong	0	150	bh
S016	71	pha_vcNone_100_95.wav	pha	vcNone	100	95	ph
S016	72	pha_vcLong_50_123.wav	pha	vcLong	50	123	bh
S016	73	pha_vcShort_25_95.wav	pha	vcShort	25	95	bh
S016	74	bha_vcShort_100_123.wav	bha	vcShort	100	123	bh
S016	75	pha_vcShort_50_95.wav	pha	vcShort	50	95	ph
S016	76	bha_vcLong_0_123.wav	bha	vcLong	0	123	bh
S016	77	pha_vcShort_50_150.wav	pha	vcShort	50	150	bh
S016	78	bha_vcShort_25_150.wav	bha	vcShort	25	150	b
S016	79	pha_vcNone_75_150.wav	pha	vcNone	75	150	ph
S016	80	bha_vcShort_50_95.wav	bha	vcShort	50	95	bh
S016	81	bha_vcLong_75_150.wav	bha	vcLong	75	150	bh
S016	82	pha_vcNone_0_150.wav	pha	vcNone	0	150	p
S016	83	pha_vcNone_100_123.wav	pha	vcNone	100	123	ph
S016	84	bha_vcShort_0_150.wav	bha	vcShort	0	150	b
S016	85	bha_vcNone_50_150.wav	bha	vcNone	50	150	ph
S016	86	pha_vcLong_50_95.wav	pha	vcLong	50	95	bh
S016	87	bha_vcNone_25_95.wav	bha	vcNone	25	95	bh
S016	88	bha_vcLong_100_150.wav	bha	vcLong	100	150	bh
S016	89	pha_vcLong_100_95.wav	pha	vcLong	100	95	bh
S016	90	pha_vcLong_25_150.wav	pha	vcLong	25	150	bh
S016	91	bha_vcLong_0_123.wav	bha	vcLong	0	123	b
S016	92	pha_vcShort_75_95.wav	pha	vcShort	75	95	bh
S016	93	bha_vcLong_25_95.wav	bha	vcLong	25	95	bh
S016	94	pha_vcShort_50_123.wav	pha	vcShort	50	123	bh
S016	95	bha_vcNone_100_150.wav	bha	vcNone	100	150	ph
S016	96	bha_vcNone_100_123.wav	bha	vcNone	100	123	ph
S016	97	pha_vcLong_75_123.wav	pha	vcLong	75	123	bh
S016	98	bha_vcLong_50_95.wav	bha	vcLong	50	95	bh
S016	99	bha_vcShort_25_150.wav	bha	vcShort	25	150	bh
S016	100	bha_vcShort_100_95.wav	bha	vcShort	100	95	bh
S016	101	pha_vcShort_25_123.wav	pha	vcShort	25	123	bh
S016	102	bha_vcLong_75_123.wav	bha	vcLong	75	123	bh
S016	103	bha_vcNone_25_95.wav	bha	vcNone	25	95	ph
S016	104	pha_vcShort_25_95.wav	pha	vcShort	25	95	bh
S016	105	bha_vcLong_25_150.wav	bha	vcLong	25	150	bh
S016	106	pha_vcLong_50_123.wav	pha	vcLong	50	123	bh
S016	107	bha_vcShort_75_150.wav	bha	vcShort	75	150	bh
S016	108	bha_vcNone_0_150.wav	bha	vcNone	0	150	p
S016	109	pha_vcShort_0_123.wav	pha	vcShort	0	123	b
S016	110	pha_vcNone_100_95.wav	pha	vcNone	100	95	ph
S016	111	pha_vcLong_0_123.wav	pha	vcLong	0	123	b
S016	112	pha_vcNone_25_150.wav	pha	vcNone	25	150	ph
S016	113	bha_vcLong_100_123.wav	bha	vcLong	100	123	bh
