sub	trial	file	base	vc	vot	f0	choice
S027	1	pha_vcShort_0_95.wav	pha	vcShort	0	95	bh
S027	2	bha_vcShort_75_95.wav	bha	vcShort	75	95	bh
S027	3	bha_vcLong_100_95.wav	bha	vcLong	100	95	b
S027	4	pha_vcShort_50_123.wav	pha	vcShort	50	123	bh
S027	5	pha_vcShort_50_95.wav	pha	vcShort	50	95	bh
S027	6	bha_vcShort_0_95.wav	bha	vcShort	0	95	b
S027	7	bha_vcNone_0_150.wav	bha	vcNone	0	150	p
S027	8	pha_vcNone_50_150.wav	pha	vcNone	50	150	ph
S027	9	pha_vcNone_75_123.wav	pha	vcNone	75	123	ph
S027	10	bha_vcNone_100_95.wav	bha	vcNone	100	95	bh
S027	11	bha_vcNone_75_95.wav	bha	vcNone	75	95	bh
S027	12	pha_vcNone_100_95.wav	pha	vcNone	100	95	bh
S027	13	pha_vcNone_100_150.wav	pha	vcNone	100	150	ph
S027	14	pha_vcNone_100_123.wav	pha	vcNone	100	123	p
S027	15	bha_vcShort_50_123.wav	bha	vcShort	50	123	b
S027	16	bha_vcNone_100_150.wav	bha	vcNone	100	150	bh
S027	17	pha_vcNone_0_150.wav	pha	vcNone	0	150	p
S027	18	pha_vcNone_25_95.wav	pha	vcNone	25	95	p
S027	19	bha_vcLong_0_95.wav	bha	vcLong	0	95	b
S027	20	bha_vcShort_25_150.wav	bha	vcShort	25	150	bh
S027	21	pha_vcLong_100_95.wav	pha	vcLong	100	95	bh
S027	22	bha_vcNone_75_150.wav	bha	vcNone	75	150	bh
S027	23	bha_vcShort_0_123.wav	bha	vcShort	0	123	b
S027	24	bha_vcShort_100_95.wav	bha	vcShort	100	95	bh
S027	25	pha_vcShort_75_150.wav	pha	vcShort	75	150	bh
S027	26	bha_vcLong_100_150.wav	bha	vcLong	100	150	bh
S027	27	bha_vcShort_0_150.wav	bha	vcShort	0	150	b
S027	28	bha_vcLong_100_123.wav	bha	vcLong	100	123	bh
S027	29	pha_vcLong_75_95.wav	pha	vcLong	75	95	bh
