sub	trial	file	base	vc	vot	f0	choice
S014	1	pha_vcShort_75_123.wav	pha	vcShort	75	123	bh
S014	2	pha_vcShort_50_95.wav	pha	vcShort	50	95	bh
S014	3	bha_vcShort_100_123.wav	bha	vcShort	100	123	bh
S014	4	bha_vcNone_25_150.wav	bha	vcNone	25	150	ph
S014	5	bha_vcLong_100_123.wav	bha	vcLong	100	123	bh
S014	6	bha_vcShort_100_150.wav	bha	vcShort	100	150	bh
S014	7	pha_vcShort_75_150.wav	pha	vcShort	75	150	ph
S014	8	pha_vcLong_25_150.wav	pha	vcLong	25	150	bh
S014	9	pha_vcNone_25_123.wav	pha	vcNone	25	123	p
S014	10	bha_vcShort_75_95.wav	bha	vcShort	75	95	bh
S014	11	pha_vcNone_0_123.wav	pha	vcNone	0	123	p
S014	12	pha_vcShort_50_150.wav	pha	vcShort	50	150	bh
S014	13	pha_vcLong_100_150.wav	pha	vcLong	100	150	bh
S014	14	pha_vcLong_25_123.wav	pha	vcLong	25	123	b
S014	15	bha_vcShort_100_95.wav	bha	vcShort	100	95	bh
S014	16	bha_vcShort_0_123.wav	bha	vcShort	0	123	b
S014	17	pha_vcNone_0_150.wav	pha	vcNone	0	150	p
S014	18	bha_vcShort_75_123.wav	bha	vcShort	75	123	bh
S014	19	bha_vcLong_25_150.wav	bha	vcLong	25	150	bh
S014	20	pha_vcShort_0_150.wav	pha	vcShort	0	150	b
S014	21	pha_vcNone_50_123.wav	pha	vcNone	50	123	ph
S014	22	bha_vcNone_0_150.wav	bha	vcNone	0	150	p
S014	23	pha_vcShort_100_95.wav	pha	vcShort	100	95	bh
S014	24	pha_vcShort_25_123.wav	pha	vcShort	25	123	bh
S014	25	pha_vcLong_100_123.wav	pha	vcLong	100	123	bh
S014	26	pha_vcLong_0_123.wav	pha	vcLong	0	123	b
S014	27	bha_vcLong_100_95.wav	bha	vcLong	100	95	bh
S014	28	bha_vcNone_0_95.wav	bha	vcNone	0	95	b
S014	29	bha_vcLong_50_150.wav	bha	vcLong	50	150	bh
S014	30	pha_vcNone_100_95.wav	pha	vcNone	100	95	ph
S014	31	pha_vcLong_25_95.wav	pha	vcLong	25	95	bh
S014	32	bha_vcShort_25_123.wav	bha	vcShort	25	123	bh
S014	33	pha_vcShort_100_150.wav	pha	vcShort	100	150	bh
S014	34	bha_vcNone_75_123.wav	bha	vcNone	75	123	bh
S014	35	pha_vcLong_50_95.wav	pha	vcLong	50	95	bh
S014	36	bha_vcLong_0_150.wav	bha	vcLong	0	150	b
S014	37	bha_vcNone_50_123.wav	bha	vcNone	50	123	ph
S014	38	bha_vcNone_50_95.wav	bha	vcNone	50	95	bh
S014	39	bha_vcNone_50_150.wav	bha	vcNone	50	150	ph
S014	40	pha_vcShort_25_150.wav	pha	vcShort	25	150	bh
S014	41	pha_vcShort_0_123.wav	pha	vcShort	0	123	b
S014	42	pha_vcNone_25_150.wav	pha	vcNone	25	150	p
S014	43	bha_vcNone_0_123.wav	bha	vcNone	0	123	b
S014	44	pha_vcShort_75_95.wav	pha	vcShort	75	95	bh
S014	45	bha_vcLong_75_123.wav	bha	vcLong	75	123	bh
S014	46	bha_vcLong_50_95.wav	bha	vcLong	50	95	bh
S014	47	pha_vcLong_100_95.wav	pha	vcLong	100	95	bh
S014	48	bha_vcLong_25_95.wav	bha	vcLong	25	95	bh
S014	49	pha_vcShort_25_95.wav	pha	vcShort	25	95	bh
S014	50	bha_vcShort_0_95.wav	bha	vcShort	0	95	b
S014	51	pha_vcNone_75_95.wav	pha	vcNone	75	95	ph
S014	52	bha_vcNone_75_150.wav	bha	vcNone	75	150	ph
S014	53	bha_vcShort_50_123.wav	bha	vcShort	50	123	bh
S014	54	pha_vcNone_50_150.wav	pha	vcNone	50	150	p
S014	55	bha_vcNone_100_123.wav	bha	vcNone	100	123	bh
