sub	trial	file	base	vc	vot	f0	choice
S009	1	pha_vcLong_0_150.wav	pha	vcLong	0	150	bh
S009	2	bha_vcShort_100_95.wav	bha	vcShort	100	95	bh
S009	3	bha_vcShort_50_95.wav	bha	vcShort	50	95	bh
S009	4	pha_vcShort_50_95.wav	pha	vcShort	50	95	bh
S009	5	bha_vcNone_75_95.wav	bha	vcNone	75	95	bh
S009	6	bha_vcLong_0_95.wav	bha	vcLong	0	95	b
S009	7	bha_vcShort_50_150.wav	bha	vcShort	50	150	bh
S009	8	pha_vcLong_25_95.wav	pha	vcLong	25	95	bh
S009	9	bha_vcShort_0_95.wav	bha	vcShort	0	95	bh
S009	10	pha_vcShort_100_123.wav	pha	vcShort	100	123	bh
S009	11	pha_vcShort_75_150.wav	pha	vcShort	75	150	bh
S009	12	bha_vcShort_75_150.wav	bha	vcShort	75	150	bh
S009	13	bha_vcShort_50_123.wav	bha	vcShort	50	123	bh
S009	14	bha_vcShort_25_95.wav	bha	vcShort	25	95	bh
S009	15	pha_vcLong_50_150.wav	pha	vcLong	50	150	bh
S009	16	bha_vcNone_25_150.wav	bha	vcNone	25	150	ph
S009	17	pha_vcLong_25_150.wav	pha	vcLong	25	150	bh
S009	18	bha_vcNone_0_123.wav	bha	vcNone	0	123	p
S009	19	bha_vcNone_25_123.wav	bha	vcNone	25	123	ph
S009	20	bha_vcLong_100_150.wav	bha	vcLong	100	150	bh
S009	21	bha_vcNone_50_123.wav	bha	vcNone	50	123	ph
S009	22	pha_vcNone_25_95.wav	pha	vcNone	25	95	p
S009	23	pha_vcShort_0_150.wav	pha	vcShort	0	150	b
S009	24	pha_vcShort_50_123.wav	pha	vcShort	50	123	bh
S009	25	bha_vcLong_0_123.wav	bha	vcLong	0	123	b
S009	26	pha_vcNone_0_123.wav	pha	vcNone	0	123	p
S009	27	bha_vcLong_100_95.wav	bha	vcLong	100	95	bh
S009	28	pha_vcShort_100_95.wav	pha	vcShort	100	95	bh
S009	29	bha_vcNone_25_95.wav	bha	vcNone	25	95	p
S009	30	pha_vcShort_25_123.wav	pha	vcShort	25	123	bh
S009	31	pha_vcLong_50_123.wav	pha	vcLong	50	123	bh
S009	32	bha_vcNone_75_150.wav	bha	vcNone	75	150	ph
S009	33	pha_vcNone_50_123.wav	pha	vcNone	50	123	ph
S009	34	pha_vcNone_100_95.wav	pha	vcNone	100	95	ph
S009	35	bha_vcLong_50_150.wav	bha	vcLong	50	150	bh
S009	36	pha_vcNone_75_150.wav	pha	vcNone	75	150	ph
S009	37	pha_vcNone_0_95.wav	pha	vcNone	0	95	p
S009	38	bha_vcLong_75_95.wav	bha	vcLong	75	95	bh
S009	39	bha_vcLong_100_123.wav	bha	vcLong	100	123	bh
S009	40	bha_vcLong_0_150.wav	bha	vcLong	0	150	b
S009	41	pha_vcNone_25_123.wav	pha	vcNone	25	123	ph
S009	42	bha_vcLong_50_95.wav	bha	vcLong	50	95	bh
S009	43	pha_vcLong_100_150.wav	pha	vcLong	100	150	bh
S009	44	pha_vcNone_75_95.wav	pha	vcNone	75	95	ph
S009	45	pha_vcLong_25_123.wav	pha	vcLong	25	123	bh
S009	46	bha_vcLong_25_150.wav	bha	vcLong	25	150	bh
S009	47	pha_vcLong_100_95.wav	pha	vcLong	100	95	bh
S009	48	pha_vcNone_50_95.wav	pha	vcNone	50	95	ph
S009	49	bha_vcLong_75_123.wav	bha	vcLong	75	123	bh
S009	50	bha_vcShort_25_150.wav	bha	vcShort	25	150	bh
S009	51	bha_vcNone_50_95.wav	bha	vcNone	50	95	ph
S009	52	pha_vcNone_0_150.wav	pha	vcNone	0	150	p
S009	53	bha_vcNone_100_95.wav	bha	vcNone	100	95	ph
S009	54	pha_vcLong_75_123.wav	pha	vcLong	75	123	bh
S009	55	pha_vcLong_75_95.wav	pha	vcLong	75	95	bh
S009	56	bha_vcShort_0_123.wav	bha	vcShort	0	123	b
S009	57	pha_vcShort_25_150.wav	pha	vcShort	25	150	bh
S009	58	pha_vcShort_100_150.wav	pha	vcShort	100	150	bh
S009	59	bha_vcShort_75_123.wav	bha	vcShort	75	123	bh
S009	60	pha_vcShort_25_95.wav	pha	vcShort	25	95	bh
S009	61	pha_vcLong_50_95.wav	pha	vcLong	50	95	bh
S009	62	pha_vcShort_0_123.wav	pha	vcShort	0	123	b
S009	63	pha_vcShort_50_150.wav	pha	vcShort	50	150	bh
S009	64	bha_vcNone_100_150.wav	bha	vcNone	100	150	ph
S009	65	bha_vcNone_75_123.wav	bha	vcNone	75	123	ph
S009	66	pha_vcShort_75_95.wav	pha	vcShort	75	95	bh
S009	67	pha_vcNone_75_123.wav	pha	vcNone	75	123	ph
S009	68	bha_vcLong_50_123.wav	bha	vcLong	50	123	bh
S009	69	bha_vcShort_100_123.wav	bha	vcShort	100	123	bh
S009	70	bha_vcLong_25_95.wav	bha	vcLong	25	95	bh
S009	71	bha_vcNone_50_150.wav	bha	vcNone	50	150	ph
S009	72	pha_vcNone_25_150.wav	pha	vcNone	25	150	p
S009	73	pha_vcLong_0_95.wav	pha	vcLong	0	95	b
S009	74	bha_vcShort_0_150.wav	bha	vcShort	0	150	p
S009	75	pha_vcNone_50_150.wav	pha	vcNone	50	150	ph
S009	76	pha_vcNone_100_123.wav	pha	vcNone	100	123	ph
S009	77	pha_vcLong_0_123.wav	pha	vcLong	0	123	b
S009	78	bha_vcNone_0_95.wav	bha	vcNone	0	95	p
S009	79	pha_vcLong_100_123.wav	pha	vcLong	100	123	bh
S009	80	pha_vcNone_100_150.wav	pha	vcNone	100	150	ph
S009	81	bha_vcLong_25_123.wav	bha	vcLong	25	123	bh
S009	82	bha_vcNone_100_123.wav	bha	vcNone	100	123	ph
S009	83	bha_vcShort_25_123.wav	bha	vcShort	25	123	bh
S009	84	pha_vcLong_75_150.wav	pha	vcLong	75	150	bh
S009	85	pha_vcShort_0_95.wav	pha	vcShort	0	95	b
S009	86	bha_vcNone_0_150.wav	bha	vcNone	0	150	p
S009	87	bha_vcShort_100_150.wav	bha	vcShort	100	150	bh
S009	88	pha_vcShort_75_123.wav	pha	vcShort	75	123	bh
S009	89	bha_vcShort_75_95.wav	bha	vcShort	75	95	bh
S009	90	bha_vcLong_75_150.wav	bha	vcLong	75	150	bh
S009	91	bha_vcNone_50_150.wav	bha	vcNone	50	150	ph
S009	92	bha_vcLong_100_95.wav	bha	vcLong	100	95	bh
S009	93	pha_vcNone_25_95.wav	pha	vcNone	25	95	p
S009	94	pha_vcShort_50_95.wav	pha	vcShort	50	95	bh
S009	95	pha_vcLong_50_123.wav	pha	vcLong	50	123	bh
S009	96	bha_vcLong_25_123.wav	bha	vcLong	25	123	bh
S009	97	pha_vcShort_0_123.wav	pha	vcShort	0	123	b
S009	98	pha_vcNone_50_150.wav	pha	vcNone	50	150	ph
S009	99	pha_vcShort_100_123.wav	pha	vcShort	100	123	bh
S009	100	bha_vcLong_0_123.wav	bha	vcLong	0	123	b
S009	101	bha_vcLong_75_123.wav	bha	vcLong	75	123	bh
S009	102	bha_vcNone_0_123.wav	bha	vcNone	0	123	p
S009	103	pha_vcNone_25_123.wav	pha	vcNone	25	123	ph
S009	104	pha_vcShort_75_95.wav	pha	vcShort	75	95	bh
S009	105	bha_vcLong_50_150.wav	bha	vcLong	50	150	bh
S009	106	pha_vcNone_75_95.wav	pha	vcNone	75	95	ph
S009	107	bha_vcShort_75_123.wav	bha	vcShort	75	123	bh
S009	108	bha_vcNone_25_95.wav	bha	vcNone	25	95	ph
S009	109	pha_vcNone_25_150.wav	pha	vcNone	25	150	p
S009	110	pha_vcShort_25_150.wav	pha	vcShort	25	150	bh
S009	111	pha_vcLong_50_95.wav	pha	vcLong	50	95	bh
S009	112	pha_vcNone_100_123.wav	pha	vcNone	100	123	ph
S009	113	bha_vcShort_50_123.wav	bha	vcShort	50	123	bh
S009	114	pha_vcNone_0_123.wav	pha	vcNone	0	123	p
S009	115	pha_vcNone_50_123.wav	pha	vcNone	50	123	ph
S009	116	pha_vcNone_100_95.wav	pha	vcNone	100	95	ph
S009	117	pha_vcShort_50_150.wav	pha	vcShort	50	150	bh
S009	118	pha_vcNone_75_150.wav	pha	vcNone	75	150	ph
S009	119	bha_vcNone_75_150.wav	bha	vcNone	75	150	p
S009	120	bha_vcLong_25_150.wav	bha	vcLong	25	150	bh
S009	121	pha_vcNone_75_123.wav	pha	vcNone	75	123	ph
S009	122	bha_vcShort_25_123.wav	bha	vcShort	25	123	bh
S009	123	pha_vcNone_0_95.wav	pha	vcNone	0	95	p
S009	124	pha_vcNone_50_95.wav	pha	vcNone	50	95	ph
S009	125	bha_vcNone_75_123.wav	bha	vcNone	75	123	ph
S009	126	bha_vcNone_100_95.wav	bha	vcNone	100	95	ph
S009	127	bha_vcShort_25_95.wav	bha	vcShort	25	95	bh
S009	128	bha_vcNone_100_150.wav	bha	vcNone	100	150	ph
S009	129	pha_vcLong_0_150.wav	pha	vcLong	0	150	b
S009	130	bha_vcLong_100_150.wav	bha	vcLong	100	150	bh
S009	131	bha_vcLong_25_95.wav	bha	vcLong	25	95	bh
