sub	trial	file	base	vc	vot	f0	choice
S017	1	bha_vcNone_100_150.wav	bha	vcNone	100	150	ph
S017	2	pha_vcShort_0_123.wav	pha	vcShort	0	123	b
S017	3	pha_vcShort_100_150.wav	pha	vcShort	100	150	bh
S017	4	pha_vcNone_100_95.wav	pha	vcNone	100	95	ph
S017	5	pha_vcNone_50_150.wav	pha	vcNone	50	150	ph
S017	6	pha_vcShort_50_95.wav	pha	vcShort	50	95	bh
S017	7	pha_vcShort_50_123.wav	pha	vcShort	50	123	bh
S017	8	pha_vcLong_25_150.wav	pha	vcLong	25	150	bh
S017	9	bha_vcNone_0_150.wav	bha	vcNone	0	150	p
S017	10	pha_vcLong_100_95.wav	pha	vcLong	100	95	bh
S017	11	bha_vcNone_100_95.wav	bha	vcNone	100	95	ph
S017	12	pha_vcShort_0_150.wav	pha	vcShort	0	150	b
S017	13	pha_vcNone_0_95.wav	pha	vcNone	0	95	p
S017	14	bha_vcLong_0_150.wav	bha	vcLong	0	150	bh
S017	15	bha_vcNone_0_95.wav	bha	vcNone	0	95	p
S017	16	bha_vcShort_75_95.wav	bha	vcShort	75	95	bh
S017	17	pha_vcLong_75_95.wav	pha	vcLong	75	95	bh
S017	18	bha_vcNone_100_123.wav	bha	vcNone	100	123	ph
S017	19	pha_vcShort_0_95.wav	pha	vcShort	0	95	b
S017	20	pha_vcNone_50_123.wav	pha	vcNone	50	123	ph
S017	21	bha_vcNone_25_123.wav	bha	vcNone	25	123	ph
S017	22	bha_vcShort_100_150.wav	bha	vcShort	100	150	bh
S017	23	pha_vcShort_100_123.wav	pha	vcShort	100	123	bh
S017	24	pha_vcLong_100_150.wav	pha	vcLong	100	150	bh
S017	25	bha_vcShort_0_150.wav	bha	vcShort	0	150	b
S017	26	bha_vcLong_100_95.wav	bha	vcLong	100	95	bh
S017	27	bha_vcShort_75_150.wav	bha	vcShort	75	150	bh
S017	28	bha_vcLong_50_150.wav	bha	vcLong	50	150	bh
S017	29	bha_vcLong_25_150.wav	bha	vcLong	25	150	bh
S017	30	pha_vcNone_25_95.wav	pha	vcNone	25	95	ph
S017	31	bha_vcNone_75_123.wav	bha	vcNone	75	123	ph
S017	32	bha_vcShort_25_150.wav	bha	vcShort	25	150	bh
S017	33	pha_vcNone_75_123.wav	pha	vcNone	75	123	p
S017	34	pha_vcLong_25_95.wav	pha	vcLong	25	95	bh
S017	35	pha_vcNone_100_123.wav	pha	vcNone	100	123	ph
S017	36	pha_vcNone_50_95.wav	pha	vcNone	50	95	ph
S017	37	pha_vcNone_75_150.wav	pha	vcNone	75	150	ph
S017	38	pha_vcNone_0_123.wav	pha	vcNone	0	123	p
S017	39	bha_vcNone_25_95.wav	bha	vcNone	25	95	ph
S017	40	bha_vcNone_50_123.wav	bha	vcNone	50	123	ph
S017	41	bha_vcShort_100_95.wav	bha	vcShort	100	95	bh
S017	42	pha_vcLong_50_123.wav	pha	vcLong	50	123	bh
S017	43	bha_vcLong_0_123.wav	bha	vcLong	0	123	b
S017	44	bha_vcNone_25_150.wav	bha	vcNone	25	150	ph
S017	45	pha_vcNone_25_150.wav	pha	vcNone	25	150	ph
S017	46	pha_vcLong_100_123.wav	pha	vcLong	100	123	bh
S017	47	pha_vcLong_75_150.wav	pha	vcLong	75	150	bh
S017	48	bha_vcLong_100_150.wav	bha	vcLong	100	150	bh
S017	49	bha_vcShort_0_123.wav	bha	vcShort	0	123	b
S017	50	pha_vcShort_25_95.wav	pha	vcShort	25	95	bh
S017	51	bha_vcLong_75_123.wav	bha	vcLong	75	123	bh
S017	52	bha_vcLong_50_95.wav	bha	vcLong	50	95	bh
S017	53	pha_vcLong_25_123.wav	pha	vcLong	25	123	b
S017	54	bha_vcShort_75_123.wav	bha	vcShort	75	123	bh
S017	55	pha_vcShort_25_123.wav	pha	vcShort	25	123	bh
S017	56	pha_vcShort_25_150.wav	pha	vcShort	25	150	bh
S017	57	bha_vcNone_0_123.wav	bha	vcNone	0	123	p
S017	58	bha_vcLong_75_95.wav	bha	vcLong	75	95	bh
S017	59	bha_vcNone_50_150.wav	bha	vcNone	50	150	ph
S017	60	pha_vcShort_75_95.wav	pha	vcShort	75	95	bh
S017	61	pha_vcNone_75_95.wav	pha	vcNone	75	95	ph
S017	62	pha_vcShort_75_150.wav	pha	vcShort	75	150	bh
S017	63	pha_vcLong_0_95.wav	pha	vcLong	0	95	b
S017	64	bha_vcShort_25_95.wav	bha	vcShort	25	95	bh
S017	65	bha_vcNone_75_150.wav	bha	vcNone	75	150	ph
S017	66	pha_vcShort_75_123.wav	pha	vcShort	75	123	bh
S017	67	bha_vcLong_100_123.wav	bha	vcLong	100	123	bh
S017	68	bha_vcLong_0_95.wav	bha	vcLong	0	95	b
S017	69	pha_vcNone_0_150.wav	pha	vcNone	0	150	p
S017	70	bha_vcLong_75_150.wav	bha	vcLong	75	150	bh
S017	71	pha_vcShort_50_150.wav	pha	vcShort	50	150	bh
S017	72	bha_vcNone_75_95.wav	bha	vcNone	75	95	ph
S017	73	bha_vcLong_50_123.wav	bha	vcLong	50	123	bh
S017	74	pha_vcLong_50_95.wav	pha	vcLong	50	95	bh
S017	75	bha_vcShort_50_150.wav	bha	vcShort	50	150	bh
S017	76	pha_vcNone_25_123.wav	pha	vcNone	25	123	ph
S017	77	bha_vcNone_50_95.wav	bha	vcNone	50	95	ph
S017	78	pha_vcLong_50_150.wav	pha	vcLong	50	150	bh
S017	79	pha_vcShort_100_95.wav	pha	vcShort	100	95	bh
S017	80	bha_vcShort_100_123.wav	bha	vcShort	100	123	bh
S017	81	pha_vcLong_0_150.wav	pha	vcLong	0	150	b
S017	82	pha_vcLong_75_123.wav	pha	vcLong	75	123	bh
S017	83	bha_vcShort_0_95.wav	bha	vcShort	0	95	b
S017	84	pha_vcLong_0_123.wav	pha	vcLong	0	123	b
S017	85	bha_vcShort_50_95.wav	bha	vcShort	50	95	bh
S017	86	pha_vcNone_100_150.wav	pha	vcNone	100	150	ph
S017	87	bha_vcLong_25_123.wav	bha	vcLong	25	123	bh
S017	88	bha_vcShort_50_123.wav	bha	vcShort	50	123	bh
S017	89	bha_vcLong_25_95.wav	bha	vcLong	25	95	bh
S017	90	bha_vcShort_25_123.wav	bha	vcShort	25	123	bh
S017	91	pha_vcNone_50_150.wav	pha	vcNone	50	150	ph
S017	92	pha_vcShort_100_95.wav	pha	vcShort	100	95	bh
S017	93	bha_vcNone_100_150.wav	bha	vcNone	100	150	ph
S017	94	pha_vcNone_100_95.wav	pha	vcNone	100	95	ph
S017	95	bha_vcLong_100_123.wav	bha	vcLong	100	123	bh
S017	96	pha_vcNone_0_150.wav	pha	vcNone	0	150	p
S017	97	bha_vcNone_0_150.wav	bha	vcNone	0	150	p
S017	98	bha_vcShort_75_95.wav	bha	vcShort	75	95	bh
S017	99	bha_vcLong_25_150.wav	bha	vcLong	25	150	bh
S017	100	bha_vcLong_0_150.wav	bha	vcLong	0	150	bh
S017	101	bha_vcNone_25_123.wav	bha	vcNone	25	123	ph
S017	102	pha_vcLong_50_123.wav	pha	vcLong	50	123	bh
S017	103	bha_vcShort_25_150.wav	bha	vcShort	25	150	bh
S017	104	pha_vcLong_100_123.wav	pha	vcLong	100	123	bh
S017	105	bha_vcLong_25_123.wav	bha	vcLong	25	123	b
S017	106	bha_vcShort_100_123.wav	bha	vcShort	100	123	bh
S017	107	bha_vcNone_50_123.wav	bha	vcNone	50	123	ph
S017	108	pha_vcNone_25_150.wav	pha	vcNone	25	150	p
S017	109	bha_vcLong_75_95.wav	bha	vcLong	75	95	bh
S017	110	pha_vcLong_0_123.wav	pha	vcLong	0	123	b
S017	111	pha_vcShort_75_150.wav	pha	vcShort	75	150	bh
S017	112	bha_vcNone_25_95.wav	bha	vcNone	25	95	p
S017	113	pha_vcLong_0_150.wav	pha	vcLong	0	150	b
S017	114	bha_vcNone_75_95.wav	bha	vcNone	75	95	ph
S017	115	pha_vcLong_75_150.wav	pha	vcLong	75	150	bh
S017	116	pha_vcLong_25_95.wav	pha	vcLong	25	95	bh
S017	117	pha_vcNone_75_95.wav	pha	vcNone	75	95	ph
S017	118	bha_vcLong_25_95.wav	bha	vcLong	25	95	bh
S017	119	bha_vcShort_50_123.wav	bha	vcShort	50	123	bh
S017	120	bha_vcNone_75_123.wav	bha	vcNone	75	123	ph
S017	121	bha_vcLong_0_95.wav	bha	vcLong	0	95	b
S017	122	pha_vcShort_25_95.wav	pha	vcShort	25	95	bh
S017	123	pha_vcLong_100_150.wav	pha	vcLong	100	150	bh
S017	124	bha_vcShort_25_123.wav	bha	vcShort	25	123	bh
S017	125	pha_vcShort_100_123.wav	pha	vcShort	100	123	bh
S017	126	pha_vcNone_0_123.wav	pha	vcNone	0	123	b
S017	127	bha_vcLong_50_150.wav	bha	vcLong	50	150	bh
S017	128	pha_vcShort_50_150.wav	pha	vcShort	50	150	ph
S017	129	bha_vcLong_50_123.wav	bha	vcLong	50	123	bh
S017	130	pha_vcShort_25_150.wav	pha	vcShort	25	150	b
S017	131	pha_vcShort_25_123.wav	pha	vcShort	25	123	b
S017	132	bha_vcLong_75_123.wav	bha	vcLong	75	123	b
S017	133	bha_vcNone_50_150.wav	bha	vcNone	50	150	ph
S017	134	pha_vcNone_75_150.wav	pha	vcNone	75	150	ph
S017	135	bha_vcNone_0_95.wav	bha	vcNone	0	95	p
S017	136	bha_vcShort_25_95.wav	bha	vcShort	25	95	bh
S017	137	pha_vcShort_50_95.wav	pha	vcShort	50	95	b
S017	138	pha_vcShort_100_150.wav	pha	vcShort	100	150	bh
S017	139	pha_vcLong_75_123.wav	pha	vcLong	75	123	bh
S017	140	bha_vcNone_25_150.wav	bha	vcNone	25	150	p
S017	141	pha_vcNone_50_123.wav	pha	vcNone	50	123	ph
S017	142	bha_vcNone_75_150.wav	bha	vcNone	75	150	p
S017	143	pha_vcShort_50_123.wav	pha	vcShort	50	123	bh
S017	144	pha_vcShort_75_123.wav	pha	vcShort	75	123	bh
S017	145	pha_vcNone_100_150.wav	pha	vcNone	100	150	ph
S017	146	pha_vcNone_0_95.wav	pha	vcNone	0	95	b
S017	147	pha_vcLong_50_150.wav	pha	vcLong	50	150	bh
S017	148	bha_vcLong_100_95.wav	bha	vcLong	100	95	bh
S017	149	bha_vcLong_75_150.wav	bha	vcLong	75	150	bh
S017	150	pha_vcNone_75_123.wav	pha	vcNone	75	123	ph
S017	151	bha_vcShort_100_150.wav	bha	vcShort	100	150	bh
S017	152	bha_vcShort_50_150.wav	bha	vcShort	50	150	bh
S017	153	pha_vcNone_50_95.wav	pha	vcNone	50	95	ph
S017	154	pha_vcNone_25_95.wav	pha	vcNone	25	95	ph
S017	155	bha_vcLong_100_150.wav	bha	vcLong	100	150	bh
S017	156	bha_vcShort_0_123.wav	bha	vcShort	0	123	b
S017	157	bha_vcNone_100_123.wav	bha	vcNone	100	123	bh
S017	158	pha_vcLong_25_123.wav	pha	vcLong	25	123	bh
S017	159	bha_vcShort_50_95.wav	bha	vcShort	50	95	bh
S017	160	pha_vcShort_75_95.wav	pha	vcShort	75	95	bh
S017	161	pha_vcLong_25_150.wav	pha	vcLong	25	150	bh
S017	162	bha_vcLong_50_95.wav	bha	vcLong	50	95	bh
S017	163	bha_vcShort_0_95.wav	bha	vcShort	0	95	bh
S017	164	bha_vcNone_100_95.wav	bha	vcNone	100	95	bh
S017	165	pha_vcLong_50_95.wav	pha	vcLong	50	95	bh
S017	166	pha_vcShort_0_150.wav	pha	vcShort	0	150	b
S017	167	pha_vcLong_75_95.wav	pha	vcLong	75	95	bh
S017	168	pha_vcNone_100_123.wav	pha	vcNone	100	123	ph
S017	169	bha_vcShort_100_95.wav	bha	vcShort	100	95	bh
