sub	trial	file	base	vc	vot	f0	choice
S028	1	pha_vcShort_0_95.wav	pha	vcShort	0	95	ph
S028	2	bha_vcLong_25_150.wav	bha	vcLong	25	150	bh
S028	3	pha_vcLong_0_95.wav	pha	vcLong	0	95	b
S028	4	bha_vcNone_50_123.wav	bha	vcNone	50	123	p
S028	5	bha_vcNone_100_95.wav	bha	vcNone	100	95	bh
S028	6	bha_vcShort_25_123.wav	bha	vcShort	25	123	bh
S028	7	bha_vcNone_0_123.wav	bha	vcNone	0	123	b
S028	8	bha_vcLong_75_150.wav	bha	vcLong	75	150	bh
S028	9	pha_vcLong_50_150.wav	pha	vcLong	50	150	bh
S028	10	bha_vcLong_50_95.wav	bha	vcLong	50	95	b
S028	11	bha_vcLong_25_95.wav	bha	vcLong	25	95	bh
S028	12	pha_vcShort_75_123.wav	pha	vcShort	75	123	bh
S028	13	bha_vcLong_50_150.wav	bha	vcLong	50	150	b
S028	14	bha_vcLong_75_123.wav	bha	vcLong	75	123	b
S028	15	bha_vcShort_25_150.wav	bha	vcShort	25	150	b
S028	16	bha_vcNone_0_95.wav	bha	vcNone	0	95	p
S028	17	bha_vcLong_100_150.wav	bha	vcLong	100	150	b
S028	18	pha_vcShort_25_95.wav	pha	vcShort	25	95	b
S028	19	bha_vcShort_0_150.wav	bha	vcShort	0	150	b
S028	20	bha_vcNone_100_123.wav	bha	vcNone	100	123	p
S028	21	pha_vcLong_75_95.wav	pha	vcLong	75	95	b
S028	22	pha_vcNone_0_123.wav	pha	vcNone	0	123	p
S028	23	pha_vcShort_50_123.wav	pha	vcShort	50	123	b
S028	24	bha_vcLong_0_123.wav	bha	vcLong	0	123	bh
S028	25	bha_vcShort_75_123.wav	bha	vcShort	75	123	b
S028	26	pha_vcNone_25_150.wav	pha	vcNone	25	150	p
S028	27	bha_vcShort_50_123.wav	bha	vcShort	50	123	b
S028	28	pha_vcLong_25_95.wav	pha	vcLong	25	95	b
S028	29	pha_vcShort_0_150.wav	pha	vcShort	0	150	bh
S028	30	pha_vcNone_75_123.wav	pha	vcNone	75	123	p
S028	31	bha_vcLong_0_150.wav	bha	vcLong	0	150	b
S028	32	pha_vcLong_25_150.wav	pha	vcLong	25	150	b
S028	33	pha_vcNone_100_123.wav	pha	vcNone	100	123	p
S028	34	pha_vcLong_25_123.wav	pha	vcLong	25	123	b
S028	35	bha_vcShort_25_95.wav	bha	vcShort	25	95	bh
S028	36	bha_vcNone_50_150.wav	bha	vcNone	50	150	ph
S028	37	bha_vcNone_50_95.wav	bha	vcNone	50	95	ph
S028	38	pha_vcNone_25_95.wav	pha	vcNone	25	95	p
S028	39	pha_vcLong_100_123.wav	pha	vcLong	100	123	b
S028	40	pha_vcShort_100_95.wav	pha	vcShort	100	95	bh
