sub	trial	file	base	vc	vot	f0	choice
S015	1	bha_vcShort_0_123.wav	bha	vcShort	0	123	b
S015	2	pha_vcNone_75_123.wav	pha	vcNone	75	123	ph
S015	3	bha_vcShort_50_123.wav	bha	vcShort	50	123	bh
S015	4	bha_vcNone_75_123.wav	bha	vcNone	75	123	bh
S015	5	pha_vcShort_75_150.wav	pha	vcShort	75	150	ph
S015	6	bha_vcNone_100_150.wav	bha	vcNone	100	150	ph
S015	7	pha_vcShort_0_150.wav	pha	vcShort	0	150	p
S015	8	pha_vcLong_100_95.wav	pha	vcLong	100	95	ph
S015	9	pha_vcNone_25_123.wav	pha	vcNone	25	123	p
S015	10	pha_vcShort_75_95.wav	pha	vcShort	75	95	ph
S015	11	bha_vcNone_25_150.wav	bha	vcNone	25	150	p
S015	12	bha_vcLong_0_95.wav	bha	vcLong	0	95	b
S015	13	bha_vcShort_25_95.wav	bha	vcShort	25	95	bh
S015	14	bha_vcNone_50_150.wav	bha	vcNone	50	150	ph
S015	15	pha_vcLong_0_95.wav	pha	vcLong	0	95	p
S015	16	pha_vcShort_50_123.wav	pha	vcShort	50	123	ph
S015	17	bha_vcNone_25_95.wav	bha	vcNone	25	95	p
S015	18	bha_vcNone_100_95.wav	bha	vcNone	100	95	bh
S015	19	pha_vcLong_100_150.wav	pha	vcLong	100	150	ph
S015	20	bha_vcNone_50_123.wav	bha	vcNone	50	123	bh
S015	21	pha_vcShort_25_150.wav	pha	vcShort	25	150	ph
S015	22	bha_vcNone_100_123.wav	bha	vcNone	100	123	bh
S015	23	bha_vcNone_75_150.wav	bha	vcNone	75	150	ph
S015	24	pha_vcLong_50_95.wav	pha	vcLong	50	95	ph
S015	25	pha_vcLong_0_123.wav	pha	vcLong	0	123	p
S015	26	pha_vcNone_50_95.wav	pha	vcNone	50	95	ph
S015	27	pha_vcShort_75_123.wav	pha	vcShort	75	123	ph
S015	28	bha_vcShort_100_150.wav	bha	vcShort	100	150	ph
S015	29	bha_vcLong_100_150.wav	bha	vcLong	100	150	ph
S015	30	bha_vcLong_100_95.wav	bha	vcLong	100	95	bh
S015	31	bha_vcShort_25_123.wav	bha	vcShort	25	123	ph
