sub	trial	file	base	vc	vot	f0	choice
S019	1	pha_vcNone_75_95.wav	pha	vcNone	75	95	ph
S019	2	pha_vcNone_100_123.wav	pha	vcNone	100	123	ph
S019	3	pha_vcLong_0_95.wav	pha	vcLong	0	95	b
S019	4	pha_vcLong_50_95.wav	pha	vcLong	50	95	bh
S019	5	pha_vcShort_50_95.wav	pha	vcShort	50	95	bh
S019	6	bha_vcLong_75_150.wav	bha	vcLong	75	150	bh
S019	7	bha_vcNone_100_123.wav	bha	vcNone	100	123	bh
S019	8	bha_vcLong_25_95.wav	bha	vcLong	25	95	bh
S019	9	bha_vcShort_50_95.wav	bha	vcShort	50	95	bh
S019	10	pha_vcNone_50_150.wav	pha	vcNone	50	150	ph
S019	11	bha_vcShort_75_150.wav	bha	vcShort	75	150	bh
S019	12	bha_vcShort_100_123.wav	bha	vcShort	100	123	bh
S019	13	bha_vcLong_100_150.wav	bha	vcLong	100	150	bh
S019	14	pha_vcLong_100_150.wav	pha	vcLong	100	150	bh
S019	15	bha_vcShort_0_150.wav	bha	vcShort	0	150	bh
S019	16	pha_vcLong_25_150.wav	pha	vcLong	25	150	bh
S019	17	pha_vcShort_50_123.wav	pha	vcShort	50	123	bh
S019	18	bha_vcLong_75_123.wav	bha	vcLong	75	123	bh
S019	19	bha_vcLong_50_123.wav	bha	vcLong	50	123	bh
S019	20	bha_vcNone_50_150.wav	bha	vcNone	50	150	ph
S019	21	bha_vcLong_0_150.wav	bha	vcLong	0	150	bh
S019	22	pha_vcNone_75_123.wav	pha	vcNone	75	123	ph
S019	23	bha_vcNone_25_123.wav	bha	vcNone	25	123	bh
S019	24	pha_vcLong_0_150.wav	pha	vcLong	0	150	b
S019	25	bha_vcLong_50_150.wav	bha	vcLong	50	150	bh
S019	26	pha_vcNone_100_95.wav	pha	vcNone	100	95	ph
S019	27	pha_vcNone_0_95.wav	pha	vcNone	0	95	p
S019	28	bha_vcShort_0_123.wav	bha	vcShort	0	123	bh
S019	29	pha_vcNone_25_95.wav	pha	vcNone	25	95	ph
S019	30	pha_vcShort_75_123.wav	pha	vcShort	75	123	bh
S019	31	bha_vcShort_75_123.wav	bha	vcShort	75	123	bh
S019	32	pha_vcShort_100_123.wav	pha	vcShort	100	123	ph
S019	33	bha_vcNone_50_123.wav	bha	vcNone	50	123	bh
S019	34	bha_vcNone_75_123.wav	bha	vcNone	75	123	bh
S019	35	pha_vcShort_25_150.wav	pha	vcShort	25	150	bh
S019	36	pha_vcLong_0_123.wav	pha	vcLong	0	123	b
S019	37	bha_vcLong_100_95.wav	bha	vcLong	100	95	bh
S019	38	pha_vcLong_50_123.wav	pha	vcLong	50	123	bh
S019	39	pha_vcNone_100_150.wav	pha	vcNone	100	150	ph
S019	40	bha_vcLong_25_150.wav	bha	vcLong	25	150	bh
S019	41	bha_vcShort_100_95.wav	bha	vcShort	100	95	bh
S019	42	pha_vcLong_100_123.wav	pha	vcLong	100	123	bh
S019	43	bha_vcShort_25_123.wav	bha	vcShort	25	123	bh
S019	44	bha_vcNone_25_150.wav	bha	vcNone	25	150	p
S019	45	pha_vcNone_0_123.wav	pha	vcNone	0	123	p
S019	46	pha_vcLong_25_123.wav	pha	vcLong	25	123	bh
S019	47	bha_vcShort_50_123.wav	bha	vcShort	50	123	bh
S019	48	bha_vcLong_0_123.wav	bha	vcLong	0	123	b
S019	49	bha_vcLong_100_123.wav	bha	vcLong	100	123	bh
S019	50	bha_vcShort_50_150.wav	bha	vcShort	50	150	bh
S019	51	bha_vcNone_0_123.wav	bha	vcNone	0	123	p
S019	52	pha_vcNone_25_123.wav	pha	vcNone	25	123	ph
S019	53	bha_vcLong_75_95.wav	bha	vcLong	75	95	bh
S019	54	pha_vcShort_75_95.wav	pha	vcShort	75	95	bh
S019	55	pha_vcShort_50_150.wav	pha	vcShort	50	150	bh
S019	56	pha_vcShort_0_95.wav	pha	vcShort	0	95	b
S019	57	bha_vcNone_50_95.wav	bha	vcNone	50	95	bh
S019	58	pha_vcShort_0_123.wav	pha	vcShort	0	123	b
S019	59	pha_vcLong_75_95.wav	pha	vcLong	75	95	bh
S019	60	pha_vcShort_0_150.wav	pha	vcShort	0	150	b
S019	61	pha_vcNone_75_150.wav	pha	vcNone	75	150	ph
S019	62	pha_vcNone_0_150.wav	pha	vcNone	0	150	p
S019	63	pha_vcNone_50_95.wav	pha	vcNone	50	95	ph
S019	64	bha_vcNone_0_150.wav	bha	vcNone	0	150	p
S019	65	pha_vcLong_75_150.wav	pha	vcLong	75	150	bh
S019	66	bha_vcNone_100_95.wav	bha	vcNone	100	95	bh
S019	67	bha_vcNone_0_95.wav	bha	vcNone	0	95	bh
S019	68	bha_vcLong_50_95.wav	bha	vcLong	50	95	bh
S019	69	pha_vcNone_50_123.wav	pha	vcNone	50	123	ph
S019	70	bha_vcShort_100_150.wav	bha	vcShort	100	150	bh
S019	71	bha_vcShort_75_95.wav	bha	vcShort	75	95	bh
S019	72	bha_vcNone_75_95.wav	bha	vcNone	75	95	bh
S019	73	pha_vcNone_25_150.wav	pha	vcNone	25	150	ph
S019	74	pha_vcShort_25_123.wav	pha	vcShort	25	123	ph
S019	75	bha_vcLong_25_123.wav	bha	vcLong	25	123	bh
S019	76	bha_vcNone_100_150.wav	bha	vcNone	100	150	ph
