CHARACTER	PINYIN	Medial	Init-stop	C	V	Tone	ToneLar	InitMed	InitLar	Sibs	Vowels					
敲	qiao1	NA	NA	tɕʰ	iao	1	0	0	0	y	y
巧	qiao3	NA	NA	tɕʰ	iao	3	0	0	0	0	y
且	qie3	NA	NA	tɕʰ	ie	3	0	0	0	0	y
柳	liu3	NA	NA	l	iu	3	0	0	0	0	y
抹	mo3	NA	NA	m	o	3	0	0	0	0	y
肘	zhou3	NA	NA	tʂ	ou	3	0	0	0	0	y
楚	chu3	NA	NA	tʂʰ	u	3	0	0	0	0	y
毁	hui3	NA	NA	h	ui	3	0	0	0	0	y
躲	duo3	NA	NA	d	uo	3	0	0	0	0	y
地	di4	NA	di	d	i	4	0	y	y	0	0
度	du4	NA	du	d	u	4	0	0	y	0	0
干	gan4	NA	ga	g	a	4	0	0	y	0	0
雇	gu4	NA	gu	g	u	4	0	0	y	0	0
女	nü3	NA	NA	n	y	3	0	0	0	0	y
看	kan4	NA	ka	k	a	4	0	0	y	0	0
骂	ma4	NA	NA	m	a	4	0	0	0	0	y
寨	zhai4	NA	NA	tʂ	ai	4	0	0	0	0	y
抱	bao4	NA	NA	b	ao	4	0	0	0	0	y
这	zhe4	NA	NA	tʂ	e	4	0	0	0	0	y
库	ku4	NA	ku	k	u	4	0	0	y	0	0
肋	lei4	NA	NA	l	ei	4	0	0	0	0	y
怕	pa4	NA	pa	p	a	4	0	0	y	0	0
密	mi4	NA	NA	m	i	4	0	0	0	0	y
俏	qiao4	NA	NA	tɕʰ	iao	4	0	0	0	0	y
怯	qie4	NA	NA	tɕʰ	ie	4	0	0	0	0	y
六	liu4	NA	NA	l	iu	4	0	0	0	0	y
末	mo4	NA	NA	m	o	4	0	0	0	0	y
咒	zhou4	NA	NA	tʂ	ou	4	0	0	0	0	y
屁	pi4	NA	pi	p	i	4	y	0	y	0	0
铺	pu4	NA	pu	p	u	4	0	0	y	0	0
塌	ta1	NA	ta	t	a	1	0	0	y	0	0
汤	tang1	NA	ta	t	a	1	y	0	y	0	0
替	ti4	NA	ti	t	i	4	0	y	y	0	0
兔	tu4	NA	tu	t	u	4	0	0	y	0	0
怵	chu4	NA	NA	tʂʰ	u	4	0	0	0	0	y
会	hui4	NA	NA	h	ui	4	0	0	0	0	y
垛	duo4	NA	NA	d	uo	4	0	0	0	0	y
绿	lü4	NA	NA	l	y	4	0	0	0	0	y
去	qü4	NA	NA	tɕ	y	4	0	0	0	0	y
撒謊	sa1 huang3?	NA	NA	s	a	13	0	0	0	y	0
沙灘	sha1 tan1?	NA	NA	ʂ	a	11	0	0	0	y	0
紮根	za1 gen1?	NA	NA	ts	a	11	0	0	0	y	0
擦門	ca1 men2?	NA	NA	tsʰ	a	12	0	0	0	y	0
詐騙	zha4 pie4?	NA	NA	tʂ	a	44	0	0	0	y	0
差別	cha1 bie2?	NA	NA	tʂʰ	a	12	0	0	0	y	0
技能	ji4 neng2?	NA	NA	tɕ	i	42	0	0	0	y	0
氣憤	qi4 fen4?	NA	NA	tɕʰ	i	44	0	0	0	y	0
思念	si1 nian4	NA	NA	s	i-apical	14	0	0	0	y	0
師父	shi1 fu4?	NA	NA	ʂ	i-apical	14	0	0	0	y	0
次方	ci4 fan1?	NA	NA	tsʰ	i-apical	41	0	0	0	y	0
織女	zhi1 nu3?	NA	NA	tʂ	i-apical	13	0	0	0	y	0
吃飯	chi1 fan4?	NA	NA	tʂʰ	i-apical	14	0	0	0	y	0
蝦餅	xia1 bing3?	NA	NA	ɕ	ia	13	0	0	0	y	0
加盟	jia1 meng2	NA	NA	tɕ	ia	12	0	0	0	y	0
恰好	qia4 hao3	NA	NA	tɕʰ	ia	43	0	0	0	y	0
系统	xi4 tong3	NA	NA	ɕ	i	43	0	0	0	y	0
字典	zi4 dian3	NA	NA	ts	i	43	0	0	0	y	0
